player_name,season,injury,from_date,to_date,days_out,matches_missed
Anwar El Ghazi,22/23,muscular problems,"Sep 17, 2022","Sep 30, 2022",14 days,1
Anwar El Ghazi,19/20,Knee injury,"Dec 2, 2019","Dec 7, 2019",6 days,1
Anwar El Ghazi,19/20,Ankle injury,"Aug 5, 2019","Aug 9, 2019",5 days,-
Anwar El Ghazi,17/18,Hamstring injury,"Nov 25, 2017","Dec 6, 2017",12 days,3
Anwar El Ghazi,15/16,Groin problems,"Apr 25, 2016","May 5, 2016",11 days,1
Anwar El Ghazi,15/16,Ankle injury,"Jan 7, 2016","Jan 11, 2016",5 days,-
Anwar El Ghazi,15/16,Ankle injury,"Nov 5, 2015","Dec 3, 2015",29 days,7
Anwar El Ghazi,15/16,Ill,"Oct 22, 2015","Oct 26, 2015",5 days,2
Anwar El Ghazi,15/16,Knee injury,"Aug 31, 2015","Sep 7, 2015",8 days,3
Anwar El Ghazi,15/16,Strain in the thigh and gluteal muscles,"Aug 10, 2015","Aug 13, 2015",4 days,-
Anwar El Ghazi,14/15,Groin injury,"Dec 1, 2014","Dec 8, 2014",8 days,1
Roko Simic,24/25,unknown injury,"Nov 19, 2024","Feb 10, 2025",84 days,14
Roko Simic,22/23,Tonsillitis,"Aug 16, 2022","Aug 29, 2022",14 days,2
Roko Simic,22/23,cold,"Aug 13, 2022","Aug 15, 2022",3 days,1
Callum Robinson,24/25,Achilles tendon problems,"Nov 6, 2024","Nov 20, 2024",15 days,2
Callum Robinson,23/24,unknown injury,"Jan 7, 2024","Mar 28, 2024",82 days,14
Callum Robinson,22/23,Hamstring muscle injury,"Feb 17, 2023","Jun 19, 2023",123 days,18
Callum Robinson,20/21,Virus,"Nov 9, 2020","Nov 20, 2020",12 days,3
Callum Robinson,20/21,Ill,"Oct 10, 2020","Oct 18, 2020",9 days,2
Callum Robinson,19/20,Ill,"Dec 9, 2019","Dec 20, 2019",12 days,1
Callum Robinson,19/20,Hamstring strain,"Sep 7, 2019","Sep 13, 2019",7 days,1
Callum Robinson,19/20,Hamstring strain,"Aug 19, 2019","Aug 23, 2019",5 days,-
Callum Robinson,18/19,Hamstring injury,"Nov 25, 2018","Mar 11, 2019",107 days,19
Oliver Dovin,21/22,Hand injury,"Aug 22, 2021","Oct 18, 2021",58 days,13
Brad Collins,20/21,unknown injury,"Oct 20, 2020","Oct 22, 2020",3 days,1
Brad Collins,19/20,unknown injury,"Jun 18, 2020","Jun 22, 2020",5 days,1
Brad Collins,19/20,unknown injury,"Jan 31, 2020","Feb 3, 2020",4 days,1
Ben Wilson,24/25,Knee injury,"Oct 7, 2024",,173 days,32
Joel Latibeaudiere,23/24,Calf muscle tear,"Apr 30, 2024","Jun 22, 2024",54 days,2
Joel Latibeaudiere,18/19,Knee injury,"Sep 1, 2018","Jun 30, 2019",303 days,59
Luis Binks,20/21,Knee injury,"Apr 1, 2021","May 26, 2021",56 days,7
