player_name,date_of_birth/age,height,position
Gabriel Suazo,Aug 9 1997 (27),178 m,Left-Back
Aradj,Jun 5 2005 (19),179 m,Left-Back
Warren Kamanzi,Nov 11 2000 (24),177 m,Right-Back
Djibril Sidibé,Jul 29 1992 (32),183 m,Right-Back
Cristian Cásseres Jr.,Jan 20 2000 (25),176 m,Central Midfield
Vincent Sierro,Oct 8 1995 (29),185 m,Central Midfield
Niklas Schmidt,Mar 1 1998 (27),184 m,Central Midfield
Miha Zajc,Jul 1 1994 (30),178 m,Central Midfield
Rafik Messali,Apr 28 2003 (21),177 m,Right Midfield
Aron Dønnum,Apr 20 1998 (26),178 m,Left Midfield
Mathis Saka,Sep 20 2006 (18),172 m,Attacking Midfield
Yann Gboho,Jan 14 2001 (24),178 m,Left Winger
Zakaria Aboukhlal,Feb 18 2000 (25),179 m,Right Winger
Shavy Babicka,Jun 1 2000 (24),179 m,Right Winger
Noah Edjouma,Oct 4 2005 (19),182 m,Right Winger
Frank Magri,Sep 4 1999 (25),178 m,Centre-Forward
Joshua King,Jan 15 1992 (33),180 m,Centre-Forward
Benjamin Lecomte,Apr 26 1991 (33),186 m,Goalkeeper
Dimitry Bertaud,Jun 6 1998 (26),180 m,Goalkeeper
Belmin Dizdarevic,Aug 9 2001 (23),189 m,Goalkeeper
Bamo Meïté,Dec 3 2001 (23),184 m,Centre-Back
Becir Omeragic,Jan 20 2002 (23),187 m,Centre-Back
Kiki Kouyaté,Apr 15 1997 (27),192 m,Centre-Back
Modibo Sagnan,Apr 14 1999 (25),187 m,Centre-Back
Christopher Jullien,Mar 22 1993 (32),196 m,Centre-Back
Nikola Maksimović,Nov 25 1991 (33),193 m,Centre-Back
Issiaga Sylla,Jan 1 1994 (31),180 m,Left-Back
Lucas Mincarelli,Jan 5 2004 (21),179 m,Left-Back
Théo Sainte-Luce,Oct 20 1998 (26),176 m,Left-Back
Enzo Tchato,Nov 23 2002 (22),182 m,Right-Back
Falaye Sacko,May 1 1995 (29),180 m,Right-Back
Joris Chotard,Sep 24 2001 (23),179 m,Defensive Midfield
Rabby Nzingoula,Nov 25 2005 (19),183 m,Defensive Midfield
Khalil Fayad,Jun 9 2004 (20),172 m,Central Midfield
Jordan Ferri,Mar 12 1992 (33),173 m,Central Midfield
Téji Savanier,Dec 22 1991 (33),172 m,Attacking Midfield
Nicolas Pays,Jul 7 2003 (21),177 m,Attacking Midfield
Wahbi Khazri,Feb 8 1991 (34),176 m,Left Winger
Tanguy Coulibaly,Feb 18 2001 (24),179 m,Right Winger
Othmane Maamma,Oct 6 2005 (19),182 m,Right Winger
Andy Delort,Oct 9 1991 (33),181 m,Centre-Forward
Glenn Ngosso,Jan 12 2004 (21),,Centre-Forward
Djordje Petrovic,Oct 8 1999 (25),190 m,Goalkeeper
Alaa Bellaarouch,Jan 1 2002 (23),189 m,Goalkeeper
Karl-Johan Johnsson,Jan 28 1990 (35),188 m,Goalkeeper
Mamadou Sarr,Aug 29 2005 (19),194 m,Centre-Back
Ismaël Doukouré,Jul 24 2003 (21),183 m,Centre-Back
Abakar Sylla,Dec 25 2002 (22),188 m,Centre-Back
Andrew Omobamidele,Jun 23 2002 (22),188 m,Centre-Back
Yoni Gomis,Sep 23 2005 (19),186 m,Centre-Back
Valentín Barco,Jul 23 2004 (20),170 m,Left-Back
Eduard Sobol,Apr 20 1995 (29),186 m,Left-Back
Thomas Delaine,Mar 24 1992 (33),180 m,Left-Back
Guéla Doué,Oct 17 2002 (22),187 m,Right-Back
Pape Diong,Jun 15 2006 (18),193 m,Defensive Midfield
Andrey Santos,May 3 2004 (20),180 m,Central Midfield
Habib Diarra,Jan 3 2004 (21),178 m,Central Midfield
Sebastian Nanasi,May 16 2002 (22),178 m,Left Midfield
Félix Lemaréchal,Aug 7 2003 (21),180 m,Attacking Midfield
Diallo,May 28 2006 (18),176 m,Attacking Midfield
Diego Moreira,Aug 6 2004 (20),179 m,Left Winger
Óscar Perea,Sep 27 2005 (19),174 m,Left Winger
Dilane Bakwa,Aug 26 2002 (22),180 m,Right Winger
Samuel Amo-Ameyaw,Jul 18 2006 (18),174 m,Right Winger
Abdoul Ouattara,Oct 22 2005 (19),180 m,Right Winger
