player_name,date_of_birth/age,height,position
Lukas Nmecha,Dec 14 1998 (26),185 m,Centre-Forward
Kevin Behrens,Feb 3 1991 (34),185 m,Centre-Forward
Bartosz Bialek,Nov 11 2001 (23),191 m,Centre-Forward
Robin Zentner,Oct 28 1994 (30),195 m,Goalkeeper
Daniel Batz,Jan 12 1991 (34),191 m,Goalkeeper
Lasse Rieß,Jul 27 2001 (23),191 m,Goalkeeper
Andreas Hanche-Olsen,Jan 17 1997 (28),185 m,Centre-Back
Moritz Jenz,Apr 30 1999 (25),190 m,Centre-Back
Maxim Leitsch,May 18 1998 (26),189 m,Centre-Back
Stefan Bell,Aug 24 1991 (33),192 m,Centre-Back
Danny da Costa,Jul 13 1993 (31),187 m,Centre-Back
Maxim Dal,Jan 26 2006 (19),188 m,Centre-Back
Phillipp Mwene,Jan 29 1994 (31),170 m,Left-Back
Silvan Widmer,Mar 5 1993 (31),183 m,Right-Back
Nikolas Veratschnig,Jan 24 2003 (22),180 m,Right-Back
Kaishu Sano,Dec 30 2000 (24),176 m,Defensive Midfield
Lennard Maloney,Oct 8 1999 (25),188 m,Defensive Midfield
Dominik Kohr,Jan 31 1994 (31),183 m,Defensive Midfield
Nadiem Amiri,Oct 27 1996 (28),180 m,Central Midfield
Anthony Caci,Jul 1 1997 (27),184 m,Right Midfield
Paul Nebel,Oct 10 2002 (22),169 m,Attacking Midfield
Hyun-seok Hong,Jun 16 1999 (25),177 m,Attacking Midfield
Jae-sung Lee,Aug 10 1992 (32),180 m,Attacking Midfield
Arnaud Nordin,Jun 17 1998 (26),170 m,Right Winger
Armindo Sieb,Feb 17 2003 (22),175 m,Second Striker
Jonathan Burkardt,Jul 11 2000 (24),183 m,Centre-Forward
Nelson Weiper,Mar 17 2005 (19),192 m,Centre-Forward
Jonas Omlin,Jan 10 1994 (31),190 m,Goalkeeper
Moritz Nicolas,Oct 21 1997 (27),193 m,Goalkeeper
Tobias Sippel,Mar 22 1988 (36),183 m,Goalkeeper
Ko Itakura,Jan 27 1997 (28),188 m,Centre-Back
Nico Elvedi,Sep 30 1996 (28),189 m,Centre-Back
Marvin Friedrich,Dec 13 1995 (29),193 m,Centre-Back
Fabio Chiarodia,Jun 5 2005 (19),186 m,Centre-Back
Luca Netz,May 15 2003 (21),184 m,Left-Back
Lukas Ullrich,Mar 16 2004 (20),180 m,Left-Back
Joe Scally,Dec 31 2002 (22),184 m,Right-Back
Stefan Lainer,Aug 27 1992 (32),175 m,Right-Back
Julian Weigl,Sep 8 1995 (29),186 m,Defensive Midfield
Niklas Swider,Jan 5 2007 (18),188 m,Defensive Midfield
Rocco Reitz,May 29 2002 (22),176 m,Central Midfield
Philipp Sander,Feb 21 1998 (27),186 m,Central Midfield
Florian Neuhaus,Mar 16 1997 (27),185 m,Central Midfield
Kevin Stöger,Aug 27 1993 (31),175 m,Attacking Midfield
Robin Hack,Aug 27 1998 (26),178 m,Left Winger
Yvandro Borges Sanches,May 24 2004 (20),180 m,Left Winger
Franck Honorat,Aug 11 1996 (28),180 m,Right Winger
Nathan Ngoumou,Mar 14 2000 (24),185 m,Right Winger
Tim Kleindienst,Aug 31 1995 (29),194 m,Centre-Forward
Alassane Pléa,Mar 10 1993 (31),181 m,Centre-Forward
Tomas Cvancara,Aug 13 2000 (24),190 m,Centre-Forward
Shio Fukuda,Apr 8 2004 (20),178 m,Centre-Forward
Frederik Rönnow,Aug 4 1992 (32),188 m,Goalkeeper
Alexander Schwolow,Jun 2 1992 (32),190 m,Goalkeeper
Carl Klaus,Jan 16 1994 (31),189 m,Goalkeeper
Diogo Leite,Jan 23 1999 (26),190 m,Centre-Back
Danilho Doekhi,Jun 30 1998 (26),190 m,Centre-Back
Leopold Querfeld,Dec 20 2003 (21),190 m,Centre-Back
Kevin Vogt,Sep 23 1991 (33),194 m,Centre-Back
Oluwaseun Ogbemudia,Jul 18 2006 (18),188 m,Centre-Back
Tom Rothe,Oct 29 2004 (20),193 m,Left-Back
Jérôme Roussillon,Jan 6 1993 (32),175 m,Left-Back
Josip Juranovic,Aug 16 1995 (29),173 m,Right-Back
Christopher Trimmel,Feb 24 1987 (38),189 m,Right-Back
Aljoscha Kemlein,Aug 2 2004 (20),187 m,Defensive Midfield
Lucas Tousart,Apr 29 1997 (27),184 m,Defensive Midfield
Rani Khedira,Jan 27 1994 (31),189 m,Defensive Midfield
András Schäfer,Apr 13 1999 (25),178 m,Central Midfield
László Bénes,Sep 9 1997 (27),181 m,Central Midfield
Janik Haberer,Apr 2 1994 (30),187 m,Central Midfield
Robert Skov,May 20 1996 (28),185 m,Left Midfield
Woo-yeong Jeong,Sep 20 1999 (25),179 m,Attacking Midfield
David Preu,Oct 26 2004 (20),172 m,Left Winger
Tim Skarke,Sep 7 1996 (28),181 m,Right Winger
Benedict Hollerbach,May 17 2001 (23),181 m,Centre-Forward
Marin Ljubicic,Feb 28 2002 (22),183 m,Centre-Forward
Kevin Volland,Jul 30 1992 (32),179 m,Centre-Forward
Andrej Ilic,Apr 3 2000 (24),189 m,Centre-Forward
Ivan Prtajin,May 14 1996 (28),189 m,Centre-Forward
Patrick Drewes,Feb 4 1993 (32),194 m,Goalkeeper
Timo Horn,May 12 1993 (31),192 m,Goalkeeper
Paul Grave,Apr 10 2001 (23),193 m,Goalkeeper
Bernardo,May 14 1995 (29),186 m,Centre-Back
Tim Oermann,Oct 6 2003 (21),189 m,Centre-Back
Erhan Masovic,Nov 22 1998 (26),189 m,Centre-Back
Jakov Medic,Sep 7 1998 (26),193 m,Centre-Back
Ivan Ordets,Jul 8 1992 (32),195 m,Centre-Back
Mohammed Tolba,Jul 19 2004 (20),185 m,Centre-Back
Maximilian Wittek,Aug 21 1995 (29),173 m,Left-Back
Felix Passlack,May 29 1998 (26),170 m,Right-Back
Cristian Gamboa,Oct 24 1989 (35),175 m,Right-Back
Ibrahima Sissoko,Oct 27 1997 (27),193 m,Defensive Midfield
Anthony Losilla,Mar 10 1986 (38),185 m,Defensive Midfield
Niklas Jahn,Jul 26 2004 (20),172 m,Defensive Midfield
Tom Krauß,Jun 22 2001 (23),182 m,Central Midfield
Matus Bero,Sep 6 1995 (29),181 m,Central Midfield
Mats Pannewig,Oct 28 2004 (20),195 m,Central Midfield
Koji Miyoshi,Mar 26 1997 (27),167 m,Right Midfield
Dani de Wit,Jan 28 1998 (27),184 m,Attacking Midfield
Lennart Koerdt,Jan 7 2005 (20),187 m,Attacking Midfield
Georgios Masouras,Jan 1 1994 (31),184 m,Left Winger
Gerrit Holtmann,Mar 25 1995 (29),185 m,Left Winger
Samuel Bamba,Feb 13 2004 (21),179 m,Right Winger
Myron Boadu,Jan 14 2001 (24),181 m,Centre-Forward
Moritz Broschinski,Sep 23 2000 (24),190 m,Centre-Forward
Philipp Hofmann,Mar 30 1993 (31),195 m,Centre-Forward
Nikola Vasilj,Dec 2 1995 (29),193 m,Goalkeeper
Ben Voll,Dec 9 2000 (24),195 m,Goalkeeper
Eric Oelschlägel,Sep 20 1995 (29),193 m,Goalkeeper
Sascha Burchert,Oct 30 1989 (35),187 m,Goalkeeper
