player_name,date_of_birth/age,height,position
Lorent Talla,Jan 1 2005 (20),178 m,Central Midfield
Ilias Chair,Oct 30 1997 (27),171 m,Attacking Midfield
Vale,Sep 11 2003 (21),181 m,Attacking Midfield
Karamoko Dembélé,Feb 22 2003 (22),167 m,Attacking Midfield
Lucas Andersen,Sep 13 1994 (30),184 m,Attacking Midfield
Koki Saito,Aug 10 2001 (23),170 m,Left Winger
Daniel Bennie,Apr 13 2006 (18),181 m,Left Winger
Min-hyeok Yang,Apr 16 2006 (18),176 m,Right Winger
Paul Smyth,Sep 10 1997 (27),175 m,Right Winger
Zan Celar,Mar 14 1999 (26),186 m,Centre-Forward
Michael Frey,Jul 19 1994 (30),188 m,Centre-Forward
Alfie Lloyd,Apr 30 2003 (21),180 m,Centre-Forward
Rayan Kolli,Feb 10 2005 (20),180 m,Centre-Forward
James Beadle,Jul 16 2004 (20),201 m,Goalkeeper
Ben Hamer,Nov 20 1987 (37),193 m,Goalkeeper
Pierce Charles,Jul 21 2005 (19),,Goalkeeper
Di'Shon Bernard,Oct 14 2000 (24),188 m,Centre-Back
Akin Famewo,Nov 9 1998 (26),188 m,Centre-Back
Dominic Iorfa,Jun 24 1995 (29),188 m,Centre-Back
Michael Ihiekwe,Nov 20 1992 (32),185 m,Centre-Back
Max Lowe,May 11 1997 (27),175 m,Left-Back
Ryo Hatsuse,Jul 10 1997 (27),180 m,Left-Back
Yan Valery,Feb 22 1999 (26),185 m,Right-Back
Pol Valentín,Feb 21 1997 (28),181 m,Right-Back
