player_name,season,injury,from_date,to_date,days_out,matches_missed
Dan-Axel Zagadou,19/20,Muscle fiber tear,"Jan 16, 2020","Jan 27, 2020",12 days,2
Dan-Axel Zagadou,18/19,Knee problems,"Apr 15, 2019","May 16, 2019",32 days,4
Finn Jeltsch,24/25,muscular problems,"Sep 28, 2024","Oct 15, 2024",18 days,5
Anrie Chase,22/23,Knee problems,"May 1, 2023","May 15, 2023",15 days,3
Anrie Chase,22/23,unknown injury,"Sep 17, 2022","Nov 10, 2022",55 days,10
Luca Jaquez,23/24,minor knock,"Nov 15, 2023","Nov 22, 2023",8 days,2
Luca Jaquez,23/24,unknown injury,"Sep 25, 2023","Oct 6, 2023",12 days,2
Luca Jaquez,22/23,unknown injury,"Aug 17, 2022","Aug 25, 2022",9 days,1
Luca Jaquez,21/22,Ill,"Apr 30, 2022","May 2, 2022",3 days,1
Luca Jaquez,19/20,unknown injury,"Dec 4, 2019","Mar 3, 2020",91 days,2
Maximilian Mittelstädt,24/25,muscular problems,"Jan 14, 2025","Jan 17, 2025",4 days,1
Maximilian Mittelstädt,23/24,Internal ligament strain,"Jul 18, 2023","Aug 17, 2023",31 days,1
Maximilian Mittelstädt,21/22,Corona virus,"Feb 20, 2022","Feb 24, 2022",5 days,1
Maximilian Mittelstädt,20/21,concussion,"May 10, 2021","Jun 1, 2021",23 days,3
Maximilian Mittelstädt,19/20,Mononucleation,"Jun 11, 2020","Jul 1, 2020",21 days,4
Maximilian Mittelstädt,19/20,Corona virus,"Mar 17, 2020","Mar 31, 2020",15 days,-
Maximilian Mittelstädt,19/20,Elbow injury,"Oct 25, 2019","Oct 28, 2019",4 days,1
Maximilian Mittelstädt,18/19,Ankle injury,"Sep 3, 2018","Sep 19, 2018",17 days,3
Maximilian Mittelstädt,17/18,Right hip flexor problems,"Apr 5, 2018","May 1, 2018",27 days,4
Maximilian Mittelstädt,17/18,Broken nose bone,"Oct 16, 2017","Oct 26, 2017",11 days,3
Maximilian Mittelstädt,17/18,Fitness,"Aug 25, 2017","Aug 31, 2017",7 days,1
Maximilian Mittelstädt,17/18,Foot injury,"Aug 10, 2017","Aug 25, 2017",16 days,2
Maximilian Mittelstädt,16/17,Groin problems,"Aug 8, 2016","Aug 25, 2016",18 days,1
Ramon Hendriks,22/23,Knee injury,"Apr 7, 2023","Jun 30, 2023",85 days,9
Ramon Hendriks,22/23,Cruciate ligament tear,"Jun 16, 2022","Feb 19, 2023",249 days,25
Ramon Hendriks,20/21,Knock,"Sep 11, 2020","Oct 9, 2020",29 days,4
Josha Vagnoman,24/25,Ill,"Feb 3, 2025","Feb 7, 2025",5 days,1
Josha Vagnoman,24/25,Foot injury,"Sep 29, 2024","Oct 4, 2024",6 days,1
Josha Vagnoman,24/25,Fitness,"Jul 1, 2024","Aug 30, 2024",61 days,3
Josha Vagnoman,23/24,Foot injury,"Apr 7, 2024","Jun 30, 2024",85 days,6
Josha Vagnoman,23/24,Fitness,"Oct 25, 2023","Nov 6, 2023",13 days,3
Josha Vagnoman,23/24,fatigue fracture,"Aug 3, 2023","Oct 25, 2023",84 days,9
Josha Vagnoman,23/24,Metatarsal bruise,"Aug 1, 2023","Sep 15, 2023",46 days,4
Josha Vagnoman,22/23,Fitness,"Oct 20, 2022","Oct 31, 2022",12 days,2
Josha Vagnoman,22/23,Bone edema,"Sep 12, 2022","Oct 20, 2022",39 days,9
Josha Vagnoman,21/22,Fitness,"Jan 24, 2022","Feb 14, 2022",22 days,2
Josha Vagnoman,21/22,Tendon rupture,"Aug 16, 2021","Jan 24, 2022",162 days,32
Josha Vagnoman,21/22,Torn muscle fiber,"Jul 5, 2021","Aug 5, 2021",32 days,2
Josha Vagnoman,20/21,Hamstring strain,"May 10, 2021","May 24, 2021",15 days,3
Josha Vagnoman,20/21,double ligament tear,"Jan 25, 2021","Feb 22, 2021",29 days,5
Josha Vagnoman,20/21,Outer ligament tear,"Sep 24, 2020","Oct 22, 2020",29 days,8
Leonidas Stergiou,24/25,Fitness,"Oct 22, 2024","Nov 4, 2024",14 days,4
Leonidas Stergiou,24/25,Back injury,"Aug 12, 2024","Oct 21, 2024",71 days,11
Leonidas Stergiou,23/24,Ill,"Jul 19, 2023","Jul 26, 2023",8 days,1
Leonidas Stergiou,21/22,Inflammation of the sole of the foot,"Oct 13, 2021","Dec 8, 2021",57 days,12
Leonidas Stergiou,21/22,unknown injury,"Sep 15, 2021","Sep 20, 2021",6 days,1
Leonidas Stergiou,20/21,Foot injury,"Jan 7, 2021","Jan 17, 2021",11 days,-
Leonidas Stergiou,20/21,Corona virus,"Dec 15, 2020","Dec 29, 2020",15 days,3
Leonidas Stergiou,19/20,unknown injury,"Sep 18, 2019","Sep 27, 2019",10 days,6
Leonidas Stergiou,18/19,Ill,"May 8, 2019","May 13, 2019",6 days,1
Leonidas Stergiou,18/19,unknown injury,"Feb 14, 2019","Feb 21, 2019",8 days,2
Pascal Stenzel,23/24,muscular problems,"Nov 4, 2023","Nov 7, 2023",4 days,1
Pascal Stenzel,22/23,Torn muscle fiber,"Feb 19, 2023","Mar 30, 2023",40 days,4
Pascal Stenzel,22/23,flu,"Nov 10, 2022","Nov 18, 2022",9 days,1
Pascal Stenzel,22/23,influenza,"Oct 20, 2022","Oct 27, 2022",8 days,1
Pascal Stenzel,21/22,Injury to abdominal muscles,"Apr 25, 2022","May 30, 2022",36 days,3
Pascal Stenzel,21/22,Torn muscle fiber,"Feb 28, 2022","Mar 7, 2022",8 days,1
