player_name,date_of_birth/age,height,position
Max Balard,Nov 20 2000 (24),178 m,Defensive Midfield
Casper Staring,Feb 1 2001 (24),186 m,Defensive Midfield
Fredrik Oldrup Jensen,May 18 1993 (31),186 m,Defensive Midfield
Lars Mol,Sep 15 2004 (20),185 m,Defensive Midfield
Clint Leemans,Sep 15 1995 (29),189 m,Central Midfield
Matthew Garbett,Apr 13 2002 (22),188 m,Central Midfield
Aïmane Jaddi,Feb 1 2004 (21),164 m,Central Midfield
Dominik Janosek,Jun 13 1998 (26),183 m,Attacking Midfield
Raul Paula,Jan 25 2004 (21),177 m,Attacking Midfield
Leo Sauer,Dec 16 2005 (19),184 m,Left Winger
Saná Fernandes,Mar 10 2006 (18),165 m,Left Winger
Adam Kaied,Mar 2 2002 (22),177 m,Left Winger
Sowah,Jan 9 2000 (25),179 m,Right Winger
Roy Kuijpers,Jan 17 2000 (25),175 m,Right Winger
Sydney van Hooijdonk,Feb 6 2000 (25),190 m,Centre-Forward
Kacper Kostorz,Aug 21 1999 (25),191 m,Centre-Forward
Elías Már Ómarsson,Jan 18 1995 (30),180 m,Centre-Forward
Robin Roefs,Jan 17 2003 (22),193 m,Goalkeeper
Stijn van Gassel,Oct 18 1996 (28),186 m,Goalkeeper
Rijk Janse,Apr 16 2002 (22),189 m,Goalkeeper
Philippe Sandler,Feb 10 1997 (28),190 m,Centre-Back
Iván Márquez,Jun 9 1994 (30),191 m,Centre-Back
Bram Nuytinck,May 4 1990 (34),191 m,Centre-Back
Thomas Reinders,Jan 11 2004 (21),194 m,Centre-Back
Calvin Verdonk,Apr 26 1997 (27),174 m,Left-Back
Thomas Ouwejan,Sep 30 1996 (28),183 m,Left-Back
Brayann Pereira,May 21 2003 (21),172 m,Right-Back
Lefteris Lyratzis,Feb 22 2000 (25),178 m,Right-Back
D'Leanu Arts,May 27 2003 (21),175 m,Right-Back
Dirk Proper,Feb 24 2002 (23),167 m,Defensive Midfield
Mees Hoedemakers,Feb 18 1998 (27),181 m,Defensive Midfield
Lasse Schöne,May 27 1986 (38),178 m,Defensive Midfield
Kodai Sano,Sep 25 2003 (21),176 m,Central Midfield
Omar Jamil,May 15 2004 (20),173 m,Central Midfield
Sami Ouaissa,Oct 2 2004 (20),170 m,Attacking Midfield
Argyris Darelas,Oct 16 2003 (21),188 m,Attacking Midfield
Kas de Wit,Jul 26 2003 (21),190 m,Attacking Midfield
Başar Önal,Jul 6 2004 (20),179 m,Left Winger
Luc Nieuwenhuijs,Mar 1 2007 (18),175 m,Left Winger
Sontje Hansen,May 18 2002 (22),176 m,Right Winger
Vito van Crooij,Jan 29 1996 (29),179 m,Right Winger
Olden Larsen,Sep 17 1998 (26),175 m,Right Winger
Koki Ogawa,Aug 8 1997 (27),186 m,Centre-Forward
Kento Shiogai,Mar 26 2005 (19),180 m,Centre-Forward
Bryan Linssen,Oct 8 1990 (34),170 m,Centre-Forward
Jasper Schendelaar,Sep 2 2000 (24),186 m,Goalkeeper
Mike Hauptmeijer,Mar 18 1997 (27),190 m,Goalkeeper
Kenneth Vermeer,Jan 10 1986 (39),182 m,Goalkeeper
Duke Verduin,Oct 30 2003 (21),195 m,Goalkeeper
Simon Graves,May 22 1999 (25),191 m,Centre-Back
Anselmo García MacNulty,Feb 19 2003 (22),190 m,Centre-Back
Damian van der Haar,Jan 16 2004 (21),187 m,Centre-Back
Olivier Aertssen,Aug 7 2004 (20),185 m,Centre-Back
Thierry Lutonda,Oct 27 2000 (24),167 m,Left-Back
Tristan Gooijer,Sep 2 2004 (20),185 m,Right-Back
Sherel Floranus,Aug 23 1998 (26),181 m,Right-Back
Eliano Reijnders,Oct 23 2000 (24),168 m,Right-Back
Anouar El Azzouzi,May 29 2001 (23),187 m,Defensive Midfield
Nick Fichtinger,Apr 6 2004 (20),178 m,Defensive Midfield
Filip Krastev,Oct 15 2001 (23),178 m,Central Midfield
Davy van den Berg,Feb 4 2000 (25),185 m,Central Midfield
Jamiro Monteiro,Nov 23 1993 (31),175 m,Central Midfield
Ryan Thomas,Dec 20 1994 (30),174 m,Central Midfield
Teun Gijselhart,Apr 6 2005 (19),176 m,Central Midfield
Odysseus Velanas,Jun 5 1998 (26),180 m,Attacking Midfield
Samir Lagsir,May 20 2003 (21),180 m,Attacking Midfield
Younes Namli,Jun 20 1994 (30),180 m,Right Winger
Dylan Mbayo,Oct 11 2001 (23),175 m,Right Winger
Kaj de Rooij,Nov 25 2000 (24),184 m,Right Winger
Dylan Vente,May 9 1999 (25),185 m,Centre-Forward
Thomas Buitink,Jun 14 2000 (24),174 m,Centre-Forward
Walter Benítez,Jan 19 1993 (32),191 m,Goalkeeper
Joël Drommel,Nov 16 1996 (28),192 m,Goalkeeper
Niek Schiks,Feb 3 2004 (21),188 m,Goalkeeper
Olivier Boscagli,Nov 18 1997 (27),181 m,Centre-Back
Ryan Flamingo,Dec 31 2002 (22),187 m,Centre-Back
Adamo Nagalo,Sep 22 2002 (22),188 m,Centre-Back
Armando Obispo,Mar 5 1999 (25),185 m,Centre-Back
Tyrell Malacia,Aug 17 1999 (25),169 m,Left-Back
Mauro Júnior,May 6 1999 (25),171 m,Left-Back
